Before Entering printParticalVariable function
2.62848793e+00 1 0 844437815230466 4.94562951e-01
2.62848793e+00 1 0 844437815230467 4.94562951e-01
2.73889103e+00 1 0 844437815230464 4.94562951e-01
2.73889103e+00 1 0 844437815230465 4.94562951e-01
2.73889103e+00 1 0 844437815230466 4.94562951e-01
2.73889103e+00 1 0 844437815230467 4.94562951e-01
2.85382304e+00 1 0 844437815230464 4.94562951e-01
2.85382304e+00 1 0 844437815230465 4.94562951e-01
2.85382304e+00 1 0 844437815230466 4.94562951e-01
2.85382304e+00 1 0 844437815230467 4.94562951e-01
2.97410529e+00 1 0 844437815230464 4.94562951e-01
2.97410529e+00 1 0 844437815230465 4.94562951e-01
2.97410529e+00 1 0 844437815230466 4.94562951e-01
2.97410529e+00 1 0 844437815230467 4.94562951e-01
3.10085419e+00 1 0 844437815230464 4.94562951e-01
3.10085419e+00 1 0 844437815230465 4.94562951e-01
3.10085419e+00 1 0 844437815230466 4.94562951e-01
3.10085419e+00 1 0 844437815230467 4.94562951e-01
3.23565663e+00 1 0 844437815230464 4.94562951e-01
3.23565663e+00 1 0 844437815230465 4.94562951e-01
3.23565663e+00 1 0 844437815230466 4.94562951e-01
3.23565663e+00 1 0 844437815230467 4.94562951e-01
3.37045906e+00 1 0 844437815230464 4.94562951e-01
3.37045906e+00 1 0 844437815230465 4.94562951e-01
3.37045906e+00 1 0 844437815230466 4.94562951e-01
3.37045906e+00 1 0 844437815230467 4.94562951e-01
3.50526150e+00 1 0 844437815230464 4.94562951e-01
3.50526150e+00 1 0 844437815230465 4.94562951e-01
3.50526150e+00 1 0 844437815230466 4.94562951e-01
3.50526150e+00 1 0 844437815230467 4.94562951e-01
3.64006394e+00 1 0 844437815230464 4.94562951e-01
3.64006394e+00 1 0 844437815230465 4.94562951e-01
3.64006394e+00 1 0 844437815230466 4.94562951e-01
3.64006394e+00 1 0 844437815230467 4.94562951e-01
3.77486638e+00 1 0 844437815230464 4.94562951e-01
3.77486638e+00 1 0 844437815230465 4.94562951e-01
3.77486638e+00 1 0 844437815230466 4.94562951e-01
3.77486638e+00 1 0 844437815230467 4.94562951e-01
3.90966881e+00 1 0 844437815230464 4.94562951e-01
3.90966881e+00 1 0 844437815230465 4.94562951e-01
3.90966881e+00 1 0 844437815230466 4.94562951e-01
3.90966881e+00 1 0 844437815230467 4.94562951e-01
4.04447125e+00 1 0 844437815230464 4.94562951e-01
4.04447125e+00 1 0 844437815230465 4.94562951e-01
4.04447125e+00 1 0 844437815230466 4.94562951e-01
4.04447125e+00 1 0 844437815230467 4.94562951e-01
4.17927369e+00 1 0 844437815230464 4.94562951e-01
4.17927369e+00 1 0 844437815230465 4.94562951e-01
4.17927369e+00 1 0 844437815230466 4.94562951e-01
4.17927369e+00 1 0 844437815230467 4.94562951e-01
4.31407613e+00 1 0 844437815230464 4.94562951e-01
4.31407613e+00 1 0 844437815230465 4.94562951e-01
4.31407613e+00 1 0 844437815230466 4.94562951e-01
4.31407613e+00 1 0 844437815230467 4.94562951e-01
4.44887857e+00 1 0 844437815230464 4.94562951e-01
4.44887857e+00 1 0 844437815230465 4.94562951e-01
4.44887857e+00 1 0 844437815230466 4.94562951e-01
4.44887857e+00 1 0 844437815230467 4.94562951e-01
4.58368100e+00 1 0 844437815230464 4.94562951e-01
4.58368100e+00 1 0 844437815230465 4.94562951e-01
4.58368100e+00 1 0 844437815230466 4.94562951e-01
4.58368100e+00 1 0 844437815230467 4.94562951e-01
4.71848344e+00 1 0 844437815230464 4.94562951e-01
4.71848344e+00 1 0 844437815230465 4.94562951e-01
4.71848344e+00 1 0 844437815230466 4.94562951e-01
4.71848344e+00 1 0 844437815230467 4.94562951e-01
4.85328588e+00 1 0 844437815230464 4.94562951e-01
4.85328588e+00 1 0 844437815230465 4.94562951e-01
4.85328588e+00 1 0 844437815230466 4.94562951e-01
4.85328588e+00 1 0 844437815230467 4.94562951e-01
4.98808832e+00 1 0 844437815230464 4.94562951e-01
4.98808832e+00 1 0 844437815230465 4.94562951e-01
4.98808832e+00 1 0 844437815230466 4.94562951e-01
4.98808832e+00 1 0 844437815230467 4.94562951e-01
5.12289076e+00 1 0 844437815230464 4.94562951e-01
5.12289076e+00 1 0 844437815230465 4.94562951e-01
5.12289076e+00 1 0 844437815230466 4.94562951e-01
5.12289076e+00 1 0 844437815230467 4.94562951e-01
